"Año";"Periodo";"Estimación de muertes semanales"
"2013";"Semana 23";"7.173"
"2013";"Semana 24";"7.314"
"2013";"Semana 25";"6.670"
"2013";"Semana 26";"6.916"
"2013";"Semana 27";"7.301"
"2013";"Semana 28";"7.807"
"2013";"Semana 29";"7.063"
"2013";"Semana 30";"6.904"
"2013";"Semana 31";"6.795"
"2013";"Semana 32";"6.734"
"2013";"Semana 33";"6.771"
"2013";"Semana 34";"6.757"
"2013";"Semana 35";"6.477"
"2013";"Semana 36";"6.418"
"2013";"Semana 37";"6.376"
"2013";"Semana 38";"6.465"
"2013";"Semana 39";"6.907"
"2013";"Semana 40";"6.939"
"2013";"Semana 41";"6.520"
"2013";"Semana 42";"6.960"
"2013";"Semana 43";"7.017"
"2013";"Semana 44";"6.883"
"2013";"Semana 45";"7.366"
"2013";"Semana 46";"7.246"
"2013";"Semana 47";"7.474"
"2013";"Semana 48";"8.066"
"2013";"Semana 49";"8.183"
"2013";"Semana 50";"8.142"
"2013";"Semana 51";"8.459"
"2013";"Semana 52";"8.572"
"2014";"Semana 1";"9.049"
"2014";"Semana 2";"9.009"
"2014";"Semana 3";"9.126"
"2014";"Semana 4";"9.061"
"2014";"Semana 5";"8.867"
"2014";"Semana 6";"8.996"
"2014";"Semana 7";"8.829"
"2014";"Semana 8";"8.396"
"2014";"Semana 9";"8.252"
"2014";"Semana 10";"8.107"
"2014";"Semana 11";"7.813"
"2014";"Semana 12";"8.034"
"2014";"Semana 13";"7.728"
"2014";"Semana 14";"7.743"
"2014";"Semana 15";"7.635"
"2014";"Semana 16";"7.258"
"2014";"Semana 17";"6.999"
"2014";"Semana 18";"7.307"
"2014";"Semana 19";"7.344"
"2014";"Semana 20";"7.049"
"2014";"Semana 21";"6.904"
"2014";"Semana 22";"6.832"
"2014";"Semana 23";"7.136"
"2014";"Semana 24";"7.404"
"2014";"Semana 25";"7.248"
"2014";"Semana 26";"6.852"
"2014";"Semana 27";"6.851"
"2014";"Semana 28";"6.736"
"2014";"Semana 29";"7.065"
"2014";"Semana 30";"7.127"
"2014";"Semana 31";"6.867"
"2014";"Semana 32";"6.891"
"2014";"Semana 33";"6.724"
"2014";"Semana 34";"6.643"
"2014";"Semana 35";"6.995"
"2014";"Semana 36";"7.057"
"2014";"Semana 37";"6.687"
"2014";"Semana 38";"6.626"
"2014";"Semana 39";"6.508"
"2014";"Semana 40";"6.930"
"2014";"Semana 41";"6.987"
"2014";"Semana 42";"7.265"
"2014";"Semana 43";"7.322"
"2014";"Semana 44";"7.287"
"2014";"Semana 45";"7.333"
"2014";"Semana 46";"7.604"
"2014";"Semana 47";"7.628"
"2014";"Semana 48";"7.729"
"2014";"Semana 49";"7.645"
"2014";"Semana 50";"7.990"
"2014";"Semana 51";"8.245"
"2014";"Semana 52";"8.535"
"2015";"Semana 1";"9.605"
"2015";"Semana 2";"10.415"
"2015";"Semana 3";"10.738"
"2015";"Semana 4";"10.625"
"2015";"Semana 5";"11.046"
"2015";"Semana 6";"10.682"
"2015";"Semana 7";"10.857"
"2015";"Semana 8";"10.580"
